Element,Value,N,P,K,temperature,humidity,ph,rainfall,label
Yield,4075.7,84.0,51.0,35.0,22.30157427,80.64416466,6.043304899,197.9791215,Rice
Yield,4075.7,73.0,57.0,41.0,21.44653958,84.94375962,5.824709117,272.2017204,Rice
Yield,4075.7,92.0,35.0,40.0,22.17931888,80.33127223,6.3573893660000005,200.0882787,Rice
Yield,4075.7,85.0,37.0,39.0,24.52783742,82.73685569,6.364134967999999,224.67572310000003,Rice
Yield,4075.7,98.0,53.0,38.0,20.26707606,81.63895217,5.01450727,270.4417274,Rice
Yield,4075.7,88.0,54.0,44.0,25.7354293,83.88266234,6.149410611,233.1321372,Rice
Yield,4075.7,95.0,55.0,42.0,26.79533926,82.1480873,5.950660556,193.3473987,Rice
Yield,4075.7,99.0,57.0,35.0,26.75754171,81.17734011,5.960370061,272.29990560000005,Rice
Yield,4075.7,95.0,39.0,36.0,23.86330467,83.15250801,5.561398642,285.2493645,Rice
Yield,4075.7,60.0,43.0,44.0,21.01944696,82.95221726,7.416245107000001,298.40184710000005,Rice
Yield,4075.7,63.0,44.0,41.0,24.17298839,83.7287574,5.583370042,257.0343554,Rice
Yield,4075.7,62.0,42.0,36.0,22.78133816,82.06719137,6.430010215,248.7183228,Rice
Yield,4075.7,64.0,45.0,43.0,25.62980105,83.52842314,5.534878156,209.9001977,Rice
Yield,4075.7,83.0,60.0,36.0,25.59704938,80.14509262,6.903985986,200.834898,Rice
Yield,4075.7,82.0,40.0,40.0,23.83067496,84.81360127,6.271478837999999,298.5601175,Rice
Yield,4075.7,85.0,52.0,45.0,26.31355498,82.36698992,7.224285503,265.5355937,Rice
Yield,4075.7,91.0,35.0,38.0,24.8972823,80.52586088,6.13428721,183.6793207,Rice
Yield,4075.7,76.0,49.0,42.0,24.958779,84.47963372,5.206373153,196.95600080000003,Rice
Yield,4075.7,74.0,39.0,38.0,23.24113501,84.59201843,7.782051312999999,233.0453455,Rice
Yield,4075.7,79.0,43.0,39.0,21.66628296,80.70960551,7.062779015,210.8142087,Rice
Yield,4075.7,88.0,55.0,45.0,24.63544858,80.41363018,7.730367824,253.7202781,Rice
Yield,4075.7,60.0,36.0,43.0,23.43121862,83.06310136,5.286203711000001,219.9048349,Rice
Yield,4075.7,76.0,60.0,39.0,20.0454142,80.3477562,6.766240045,208.5810155,Rice
Yield,4075.7,93.0,56.0,42.0,23.85724032,82.22572988,7.382762603,195.0948311,Rice
Yield,4075.7,65.0,60.0,43.0,21.97199397,81.89918197,5.658169482000001,227.3637009,Rice
Yield,4075.7,95.0,52.0,36.0,26.22916897,83.83625819,5.543360237999999,286.5083725,Rice
Yield,4075.7,75.0,38.0,39.0,23.44676801,84.79352417,6.215109715,283.9338466,Rice
Yield,4075.7,74.0,54.0,38.0,25.65553461,83.47021081,7.120272972,217.3788583,Rice
Yield,4075.7,91.0,36.0,45.0,24.44345477,82.45432595,5.950647577000001,267.97619480000003,Rice
Yield,4075.7,71.0,46.0,40.0,20.2801937,82.1235421,7.236705436,191.9535738,Rice
Yield,4075.7,99.0,55.0,35.0,21.7238313,80.2389895,6.501697816,277.9626192,Rice
Yield,4075.7,72.0,40.0,38.0,20.41447029,82.20802629,7.592490617,245.1511304,Rice
Yield,4075.7,83.0,58.0,45.0,25.75528612,83.51827127,5.875345751,245.6626799,Rice
Yield,4075.7,93.0,58.0,38.0,20.61521424,83.77345559,6.932400225,279.5451717,Rice
Yield,4075.7,70.0,36.0,42.0,21.84106875,80.72886384,6.9462098810000015,202.3838319,Rice
Yield,4075.7,76.0,47.0,42.0,20.08369642,83.29114712,5.739175027000001,263.6372176,Rice
Yield,4075.7,99.0,41.0,36.0,24.45802087,82.74835604,6.738652179,182.5616319,Rice
Yield,4075.7,99.0,54.0,37.0,21.14347496,80.33502926,5.5948196260000005,198.6730942,Rice
Yield,4075.7,86.0,59.0,35.0,25.78720567,82.11124033,6.946636369,243.5120414,Rice
Yield,4075.7,69.0,46.0,41.0,23.64124821,80.28597873,5.012139669,263.1103304,Rice
Yield,4075.7,91.0,56.0,37.0,23.43191632,80.56887849,6.363472207999999,269.5039162,Rice
Yield,4075.7,61.0,52.0,41.0,24.97669518,83.891805,6.880431223,204.8001847,Rice
Yield,4075.7,67.0,45.0,38.0,22.72791041,82.17068809999998,7.300410836,260.8875056,Rice
Yield,4075.7,79.0,42.0,37.0,24.87300744,82.84022551,6.587918707999999,295.6094492000001,Rice
Yield,4075.7,78.0,43.0,42.0,21.32376327,83.00320459,7.283736617000001,192.3197536,Rice
Yield,4075.7,75.0,54.0,36.0,26.29465461,84.56919326,7.023936392,257.4914906,Rice
Yield,4075.7,97.0,36.0,45.0,22.2286982,81.85872947,6.939083505,278.0791793,Rice
Yield,4075.7,67.0,47.0,44.0,26.73072391,81.78596776,7.868474653,280.4044392,Rice
Yield,4075.7,73.0,35.0,38.0,24.88921174,81.97927117,5.005306977,185.9461429,Rice
Yield,4075.7,77.0,36.0,37.0,26.88444878,81.46033732,6.136131869,194.5766559,Rice
Yield,4075.7,81.0,41.0,38.0,22.67846116,83.72874389,7.5240800760000015,200.9133156,Rice
Yield,4075.7,68.0,57.0,43.0,26.08867875,80.37979919,5.706943251,182.9043504,Rice
Yield,4075.7,72.0,45.0,35.0,25.42977518,82.94682591,5.758506323,195.3574542,Rice
Yield,4075.7,61.0,53.0,43.0,26.40323239,81.05635517,6.349606327,223.3671883,Rice
Yield,4075.7,67.0,43.0,39.0,26.04371967,84.96907151,5.9999690260000005,186.7536773,Rice
Yield,4075.7,67.0,58.0,39.0,25.2827223,80.54372813,5.453592032,220.1156708,Rice
Yield,4075.7,66.0,60.0,38.0,22.08576562,83.47038318,6.372576327000001,231.7364957,Rice
Yield,4075.7,82.0,43.0,38.0,23.28617173,81.43321641,5.105588355,242.3170629,Rice
Yield,4075.7,84.0,50.0,44.0,25.48591986,81.40633547,5.9353444060000005,182.6549356,Rice
Yield,4075.7,81.0,53.0,42.0,23.67575393,81.03569343,5.17782304,233.7034975,Rice
Yield,4075.7,91.0,50.0,40.0,20.82477109,84.1341879,6.462391607000001,230.22422230000004,Rice
Yield,4075.7,93.0,53.0,38.0,26.92995077,81.91411159,7.069172227,290.67937830000005,Rice
Yield,4075.7,90.0,44.0,38.0,23.83509503,83.88387074,7.473134377,241.20135130000003,Rice
Yield,4075.7,81.0,45.0,35.0,26.52872817,80.12267476,6.158376967000001,218.9163567,Rice
Yield,4075.7,78.0,40.0,38.0,26.46428311,83.85642678,7.549873681,248.2256491,Rice
Yield,4075.7,60.0,51.0,36.0,22.69657794,82.81088865,6.028321557999999,256.9964761,Rice
Yield,4075.7,88.0,46.0,42.0,22.68319059,83.46358271,6.604993475,194.2651719,Rice
Yield,4075.7,93.0,47.0,37.0,21.53346343,82.14004101,6.500343222000001,295.9248796,Rice
Yield,4075.7,60.0,55.0,45.0,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,Rice
Yield,4075.7,78.0,35.0,44.0,26.54348085,84.67353597,7.072655622,183.6222657,Rice
Yield,4075.7,65.0,37.0,40.0,23.35905428,83.59512273,5.333322606,188.413665,Rice
Yield,4196.2,90.0,42.0,43.0,20.87974371,82.00274423,6.502985292000001,202.9355362,Rice
Yield,4196.2,85.0,58.0,41.0,21.77046169,80.31964408,7.038096361,226.6555374,Rice
Yield,4196.2,60.0,55.0,44.0,23.00445915,82.3207629,7.840207144,263.9642476,Rice
Yield,4196.2,74.0,35.0,40.0,26.49109635,80.15836264,6.980400905,242.8640342,Rice
Yield,4196.2,78.0,42.0,42.0,20.13017482,81.60487287,7.628472891,262.7173405,Rice
Yield,4196.2,69.0,37.0,42.0,23.05804872,83.37011772,7.073453503,251.0549998,Rice
Yield,4196.2,69.0,55.0,38.0,22.70883798,82.63941394,5.70080568,271.3248604,Rice
Yield,4196.2,94.0,53.0,40.0,20.27774362,82.89408619,5.718627177999999,241.9741949,Rice
Yield,4196.2,89.0,54.0,38.0,24.51588066,83.53521629999999,6.685346424,230.4462359,Rice
Yield,4196.2,68.0,58.0,38.0,23.22397386,83.03322691,6.336253525,221.2091958,Rice
Yield,4196.2,91.0,53.0,40.0,26.52723513,81.41753846,5.386167788,264.6148697,Rice
Yield,4196.2,90.0,46.0,42.0,23.97898217,81.45061596,7.50283396,250.0832336,Rice
Yield,4196.2,78.0,58.0,44.0,26.80079604,80.88684822,5.108681786,284.4364567,Rice
Yield,4196.2,93.0,56.0,36.0,24.01497622,82.05687182,6.98435366,185.2773389,Rice
Yield,4196.2,94.0,50.0,37.0,25.66585205,80.66385045,6.94801983,209.5869708,Rice
Yield,4196.2,60.0,48.0,39.0,24.28209415,80.30025587,7.042299068999999,231.0863347,Rice
Yield,4196.2,85.0,38.0,41.0,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,Rice
Yield,4196.2,91.0,35.0,39.0,23.79391957,80.41817957,6.970859754,206.2611855,Rice
Yield,4196.2,77.0,38.0,36.0,21.8652524,80.1923008,5.953933276,224.55501690000003,Rice
Yield,4196.2,88.0,35.0,40.0,23.57943626,83.58760316,5.85393208,291.2986618000001,Rice
Yield,4196.2,89.0,45.0,36.0,21.32504158,80.47476396,6.442475375,185.4974732,Rice
Yield,4196.2,76.0,40.0,43.0,25.15745531,83.11713476,5.070175667,231.3843163,Rice
Yield,4196.2,67.0,59.0,41.0,21.94766735,80.97384195,6.012632591,213.3560921,Rice
Yield,4196.2,83.0,41.0,43.0,21.0525355,82.67839517,6.254028451,233.1075816,Rice
Yield,4196.2,98.0,47.0,37.0,23.48381344,81.33265073,7.375482851,224.0581164,Rice
Yield,4196.2,66.0,53.0,41.0,25.0756354,80.52389148,7.778915154,257.0038865,Rice
Yield,4196.2,97.0,59.0,43.0,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,Rice
Yield,4196.2,97.0,50.0,41.0,24.52922681,80.54498576,7.070959995,260.2634026,Rice
Yield,4196.2,60.0,49.0,44.0,20.77576147,84.49774397,6.244841491,240.0810647,Rice
Yield,4196.2,84.0,51.0,35.0,22.30157427,80.64416466,6.043304899,197.9791215,Rice
Yield,4196.2,73.0,57.0,41.0,21.44653958,84.94375962,5.824709117,272.2017204,Rice
Yield,4196.2,92.0,35.0,40.0,22.17931888,80.33127223,6.3573893660000005,200.0882787,Rice
Yield,4196.2,85.0,37.0,39.0,24.52783742,82.73685569,6.364134967999999,224.67572310000003,Rice
Yield,4196.2,98.0,53.0,38.0,20.26707606,81.63895217,5.01450727,270.4417274,Rice
Yield,4196.2,88.0,54.0,44.0,25.7354293,83.88266234,6.149410611,233.1321372,Rice
Yield,4196.2,95.0,55.0,42.0,26.79533926,82.1480873,5.950660556,193.3473987,Rice
Yield,4196.2,99.0,57.0,35.0,26.75754171,81.17734011,5.960370061,272.29990560000005,Rice
Yield,4196.2,95.0,39.0,36.0,23.86330467,83.15250801,5.561398642,285.2493645,Rice
Yield,4196.2,60.0,43.0,44.0,21.01944696,82.95221726,7.416245107000001,298.40184710000005,Rice
Yield,4196.2,63.0,44.0,41.0,24.17298839,83.7287574,5.583370042,257.0343554,Rice
Yield,4196.2,62.0,42.0,36.0,22.78133816,82.06719137,6.430010215,248.7183228,Rice
Yield,4196.2,64.0,45.0,43.0,25.62980105,83.52842314,5.534878156,209.9001977,Rice
Yield,4196.2,83.0,60.0,36.0,25.59704938,80.14509262,6.903985986,200.834898,Rice
Yield,4196.2,82.0,40.0,40.0,23.83067496,84.81360127,6.271478837999999,298.5601175,Rice
Yield,4196.2,85.0,52.0,45.0,26.31355498,82.36698992,7.224285503,265.5355937,Rice
Yield,4196.2,91.0,35.0,38.0,24.8972823,80.52586088,6.13428721,183.6793207,Rice
Yield,4196.2,76.0,49.0,42.0,24.958779,84.47963372,5.206373153,196.95600080000003,Rice
Yield,4196.2,74.0,39.0,38.0,23.24113501,84.59201843,7.782051312999999,233.0453455,Rice
Yield,4196.2,79.0,43.0,39.0,21.66628296,80.70960551,7.062779015,210.8142087,Rice
Yield,4196.2,88.0,55.0,45.0,24.63544858,80.41363018,7.730367824,253.7202781,Rice
Yield,4196.2,60.0,36.0,43.0,23.43121862,83.06310136,5.286203711000001,219.9048349,Rice
Yield,4196.2,76.0,60.0,39.0,20.0454142,80.3477562,6.766240045,208.5810155,Rice
Yield,4196.2,93.0,56.0,42.0,23.85724032,82.22572988,7.382762603,195.0948311,Rice
Yield,4196.2,65.0,60.0,43.0,21.97199397,81.89918197,5.658169482000001,227.3637009,Rice
Yield,4196.2,95.0,52.0,36.0,26.22916897,83.83625819,5.543360237999999,286.5083725,Rice
Yield,4196.2,75.0,38.0,39.0,23.44676801,84.79352417,6.215109715,283.9338466,Rice
Yield,4196.2,74.0,54.0,38.0,25.65553461,83.47021081,7.120272972,217.3788583,Rice
Yield,4196.2,91.0,36.0,45.0,24.44345477,82.45432595,5.950647577000001,267.97619480000003,Rice
Yield,4196.2,71.0,46.0,40.0,20.2801937,82.1235421,7.236705436,191.9535738,Rice
Yield,4196.2,99.0,55.0,35.0,21.7238313,80.2389895,6.501697816,277.9626192,Rice
Yield,4196.2,72.0,40.0,38.0,20.41447029,82.20802629,7.592490617,245.1511304,Rice
Yield,4196.2,83.0,58.0,45.0,25.75528612,83.51827127,5.875345751,245.6626799,Rice
Yield,4196.2,93.0,58.0,38.0,20.61521424,83.77345559,6.932400225,279.5451717,Rice
Yield,4196.2,70.0,36.0,42.0,21.84106875,80.72886384,6.9462098810000015,202.3838319,Rice
Yield,4196.2,76.0,47.0,42.0,20.08369642,83.29114712,5.739175027000001,263.6372176,Rice
Yield,4196.2,99.0,41.0,36.0,24.45802087,82.74835604,6.738652179,182.5616319,Rice
Yield,4196.2,99.0,54.0,37.0,21.14347496,80.33502926,5.5948196260000005,198.6730942,Rice
Yield,4196.2,86.0,59.0,35.0,25.78720567,82.11124033,6.946636369,243.5120414,Rice
Yield,4196.2,69.0,46.0,41.0,23.64124821,80.28597873,5.012139669,263.1103304,Rice
Yield,4196.2,91.0,56.0,37.0,23.43191632,80.56887849,6.363472207999999,269.5039162,Rice
Yield,4196.2,61.0,52.0,41.0,24.97669518,83.891805,6.880431223,204.8001847,Rice
Yield,4196.2,67.0,45.0,38.0,22.72791041,82.17068809999998,7.300410836,260.8875056,Rice
Yield,4196.2,79.0,42.0,37.0,24.87300744,82.84022551,6.587918707999999,295.6094492000001,Rice
Yield,4196.2,78.0,43.0,42.0,21.32376327,83.00320459,7.283736617000001,192.3197536,Rice
Yield,4196.2,75.0,54.0,36.0,26.29465461,84.56919326,7.023936392,257.4914906,Rice
Yield,4196.2,97.0,36.0,45.0,22.2286982,81.85872947,6.939083505,278.0791793,Rice
Yield,4196.2,67.0,47.0,44.0,26.73072391,81.78596776,7.868474653,280.4044392,Rice
Yield,4196.2,73.0,35.0,38.0,24.88921174,81.97927117,5.005306977,185.9461429,Rice
Yield,4196.2,77.0,36.0,37.0,26.88444878,81.46033732,6.136131869,194.5766559,Rice
Yield,4196.2,81.0,41.0,38.0,22.67846116,83.72874389,7.5240800760000015,200.9133156,Rice
Yield,4196.2,68.0,57.0,43.0,26.08867875,80.37979919,5.706943251,182.9043504,Rice
Yield,4196.2,72.0,45.0,35.0,25.42977518,82.94682591,5.758506323,195.3574542,Rice
Yield,4196.2,61.0,53.0,43.0,26.40323239,81.05635517,6.349606327,223.3671883,Rice
Yield,4196.2,67.0,43.0,39.0,26.04371967,84.96907151,5.9999690260000005,186.7536773,Rice
Yield,4196.2,67.0,58.0,39.0,25.2827223,80.54372813,5.453592032,220.1156708,Rice
Yield,4196.2,66.0,60.0,38.0,22.08576562,83.47038318,6.372576327000001,231.7364957,Rice
Yield,4196.2,82.0,43.0,38.0,23.28617173,81.43321641,5.105588355,242.3170629,Rice
Yield,4196.2,84.0,50.0,44.0,25.48591986,81.40633547,5.9353444060000005,182.6549356,Rice
Yield,4196.2,81.0,53.0,42.0,23.67575393,81.03569343,5.17782304,233.7034975,Rice
Yield,4196.2,91.0,50.0,40.0,20.82477109,84.1341879,6.462391607000001,230.22422230000004,Rice
Yield,4196.2,93.0,53.0,38.0,26.92995077,81.91411159,7.069172227,290.67937830000005,Rice
Yield,4196.2,90.0,44.0,38.0,23.83509503,83.88387074,7.473134377,241.20135130000003,Rice
Yield,4196.2,81.0,45.0,35.0,26.52872817,80.12267476,6.158376967000001,218.9163567,Rice
Yield,4196.2,78.0,40.0,38.0,26.46428311,83.85642678,7.549873681,248.2256491,Rice
Yield,4196.2,60.0,51.0,36.0,22.69657794,82.81088865,6.028321557999999,256.9964761,Rice
Yield,4196.2,88.0,46.0,42.0,22.68319059,83.46358271,6.604993475,194.2651719,Rice
Yield,4196.2,93.0,47.0,37.0,21.53346343,82.14004101,6.500343222000001,295.9248796,Rice
Yield,4196.2,60.0,55.0,45.0,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,Rice
Yield,4196.2,78.0,35.0,44.0,26.54348085,84.67353597,7.072655622,183.6222657,Rice
Yield,4196.2,65.0,37.0,40.0,23.35905428,83.59512273,5.333322606,188.413665,Rice
Yield,4257.1,90.0,42.0,43.0,20.87974371,82.00274423,6.502985292000001,202.9355362,Rice
Yield,4257.1,85.0,58.0,41.0,21.77046169,80.31964408,7.038096361,226.6555374,Rice
Yield,4257.1,60.0,55.0,44.0,23.00445915,82.3207629,7.840207144,263.9642476,Rice
Yield,4257.1,74.0,35.0,40.0,26.49109635,80.15836264,6.980400905,242.8640342,Rice
Yield,4257.1,78.0,42.0,42.0,20.13017482,81.60487287,7.628472891,262.7173405,Rice
Yield,4257.1,69.0,37.0,42.0,23.05804872,83.37011772,7.073453503,251.0549998,Rice
Yield,4257.1,69.0,55.0,38.0,22.70883798,82.63941394,5.70080568,271.3248604,Rice
Yield,4257.1,94.0,53.0,40.0,20.27774362,82.89408619,5.718627177999999,241.9741949,Rice
Yield,4257.1,89.0,54.0,38.0,24.51588066,83.53521629999999,6.685346424,230.4462359,Rice
Yield,4257.1,68.0,58.0,38.0,23.22397386,83.03322691,6.336253525,221.2091958,Rice
Yield,4257.1,91.0,53.0,40.0,26.52723513,81.41753846,5.386167788,264.6148697,Rice
Yield,4257.1,90.0,46.0,42.0,23.97898217,81.45061596,7.50283396,250.0832336,Rice
Yield,4257.1,78.0,58.0,44.0,26.80079604,80.88684822,5.108681786,284.4364567,Rice
Yield,4257.1,93.0,56.0,36.0,24.01497622,82.05687182,6.98435366,185.2773389,Rice
Yield,4257.1,94.0,50.0,37.0,25.66585205,80.66385045,6.94801983,209.5869708,Rice
Yield,4257.1,60.0,48.0,39.0,24.28209415,80.30025587,7.042299068999999,231.0863347,Rice
Yield,4257.1,85.0,38.0,41.0,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,Rice
Yield,4257.1,91.0,35.0,39.0,23.79391957,80.41817957,6.970859754,206.2611855,Rice
Yield,4257.1,77.0,38.0,36.0,21.8652524,80.1923008,5.953933276,224.55501690000003,Rice
Yield,4257.1,88.0,35.0,40.0,23.57943626,83.58760316,5.85393208,291.2986618000001,Rice
Yield,4257.1,89.0,45.0,36.0,21.32504158,80.47476396,6.442475375,185.4974732,Rice
Yield,4257.1,76.0,40.0,43.0,25.15745531,83.11713476,5.070175667,231.3843163,Rice
Yield,4257.1,67.0,59.0,41.0,21.94766735,80.97384195,6.012632591,213.3560921,Rice
Yield,4257.1,83.0,41.0,43.0,21.0525355,82.67839517,6.254028451,233.1075816,Rice
Yield,4257.1,98.0,47.0,37.0,23.48381344,81.33265073,7.375482851,224.0581164,Rice
Yield,4257.1,66.0,53.0,41.0,25.0756354,80.52389148,7.778915154,257.0038865,Rice
Yield,4257.1,97.0,59.0,43.0,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,Rice
Yield,4257.1,97.0,50.0,41.0,24.52922681,80.54498576,7.070959995,260.2634026,Rice
Yield,4257.1,60.0,49.0,44.0,20.77576147,84.49774397,6.244841491,240.0810647,Rice
Yield,4257.1,84.0,51.0,35.0,22.30157427,80.64416466,6.043304899,197.9791215,Rice
Yield,4257.1,73.0,57.0,41.0,21.44653958,84.94375962,5.824709117,272.2017204,Rice
Yield,4257.1,92.0,35.0,40.0,22.17931888,80.33127223,6.3573893660000005,200.0882787,Rice
Yield,4257.1,85.0,37.0,39.0,24.52783742,82.73685569,6.364134967999999,224.67572310000003,Rice
Yield,4257.1,98.0,53.0,38.0,20.26707606,81.63895217,5.01450727,270.4417274,Rice
Yield,4257.1,88.0,54.0,44.0,25.7354293,83.88266234,6.149410611,233.1321372,Rice
Yield,4257.1,95.0,55.0,42.0,26.79533926,82.1480873,5.950660556,193.3473987,Rice
Yield,4257.1,99.0,57.0,35.0,26.75754171,81.17734011,5.960370061,272.29990560000005,Rice
Yield,4257.1,95.0,39.0,36.0,23.86330467,83.15250801,5.561398642,285.2493645,Rice
Yield,4257.1,60.0,43.0,44.0,21.01944696,82.95221726,7.416245107000001,298.40184710000005,Rice
Yield,4257.1,63.0,44.0,41.0,24.17298839,83.7287574,5.583370042,257.0343554,Rice
Yield,4257.1,62.0,42.0,36.0,22.78133816,82.06719137,6.430010215,248.7183228,Rice
Yield,4257.1,64.0,45.0,43.0,25.62980105,83.52842314,5.534878156,209.9001977,Rice
Yield,4257.1,83.0,60.0,36.0,25.59704938,80.14509262,6.903985986,200.834898,Rice
Yield,4257.1,82.0,40.0,40.0,23.83067496,84.81360127,6.271478837999999,298.5601175,Rice
Yield,4257.1,85.0,52.0,45.0,26.31355498,82.36698992,7.224285503,265.5355937,Rice
Yield,4257.1,91.0,35.0,38.0,24.8972823,80.52586088,6.13428721,183.6793207,Rice
Yield,4257.1,76.0,49.0,42.0,24.958779,84.47963372,5.206373153,196.95600080000003,Rice
Yield,4257.1,74.0,39.0,38.0,23.24113501,84.59201843,7.782051312999999,233.0453455,Rice
Yield,4257.1,79.0,43.0,39.0,21.66628296,80.70960551,7.062779015,210.8142087,Rice
Yield,4257.1,88.0,55.0,45.0,24.63544858,80.41363018,7.730367824,253.7202781,Rice
Yield,4257.1,60.0,36.0,43.0,23.43121862,83.06310136,5.286203711000001,219.9048349,Rice
Yield,4257.1,76.0,60.0,39.0,20.0454142,80.3477562,6.766240045,208.5810155,Rice
Yield,4257.1,93.0,56.0,42.0,23.85724032,82.22572988,7.382762603,195.0948311,Rice
Yield,4257.1,65.0,60.0,43.0,21.97199397,81.89918197,5.658169482000001,227.3637009,Rice
Yield,4257.1,95.0,52.0,36.0,26.22916897,83.83625819,5.543360237999999,286.5083725,Rice
Yield,4257.1,75.0,38.0,39.0,23.44676801,84.79352417,6.215109715,283.9338466,Rice
Yield,4257.1,74.0,54.0,38.0,25.65553461,83.47021081,7.120272972,217.3788583,Rice
Yield,4257.1,91.0,36.0,45.0,24.44345477,82.45432595,5.950647577000001,267.97619480000003,Rice
Yield,4257.1,71.0,46.0,40.0,20.2801937,82.1235421,7.236705436,191.9535738,Rice
Yield,4257.1,99.0,55.0,35.0,21.7238313,80.2389895,6.501697816,277.9626192,Rice
Yield,4257.1,72.0,40.0,38.0,20.41447029,82.20802629,7.592490617,245.1511304,Rice
Yield,4257.1,83.0,58.0,45.0,25.75528612,83.51827127,5.875345751,245.6626799,Rice
Yield,4257.1,93.0,58.0,38.0,20.61521424,83.77345559,6.932400225,279.5451717,Rice
Yield,4257.1,70.0,36.0,42.0,21.84106875,80.72886384,6.9462098810000015,202.3838319,Rice
Yield,4257.1,76.0,47.0,42.0,20.08369642,83.29114712,5.739175027000001,263.6372176,Rice
Yield,4257.1,99.0,41.0,36.0,24.45802087,82.74835604,6.738652179,182.5616319,Rice
Yield,4257.1,99.0,54.0,37.0,21.14347496,80.33502926,5.5948196260000005,198.6730942,Rice
Yield,4257.1,86.0,59.0,35.0,25.78720567,82.11124033,6.946636369,243.5120414,Rice
Yield,4257.1,69.0,46.0,41.0,23.64124821,80.28597873,5.012139669,263.1103304,Rice
Yield,4257.1,91.0,56.0,37.0,23.43191632,80.56887849,6.363472207999999,269.5039162,Rice
Yield,4257.1,61.0,52.0,41.0,24.97669518,83.891805,6.880431223,204.8001847,Rice
Yield,4257.1,67.0,45.0,38.0,22.72791041,82.17068809999998,7.300410836,260.8875056,Rice
Yield,4257.1,79.0,42.0,37.0,24.87300744,82.84022551,6.587918707999999,295.6094492000001,Rice
Yield,4257.1,78.0,43.0,42.0,21.32376327,83.00320459,7.283736617000001,192.3197536,Rice
Yield,4257.1,75.0,54.0,36.0,26.29465461,84.56919326,7.023936392,257.4914906,Rice
Yield,4257.1,97.0,36.0,45.0,22.2286982,81.85872947,6.939083505,278.0791793,Rice
Yield,4257.1,67.0,47.0,44.0,26.73072391,81.78596776,7.868474653,280.4044392,Rice
Yield,4257.1,73.0,35.0,38.0,24.88921174,81.97927117,5.005306977,185.9461429,Rice
Yield,4257.1,77.0,36.0,37.0,26.88444878,81.46033732,6.136131869,194.5766559,Rice
Yield,4257.1,81.0,41.0,38.0,22.67846116,83.72874389,7.5240800760000015,200.9133156,Rice
Yield,4257.1,68.0,57.0,43.0,26.08867875,80.37979919,5.706943251,182.9043504,Rice
Yield,4257.1,72.0,45.0,35.0,25.42977518,82.94682591,5.758506323,195.3574542,Rice
Yield,4257.1,61.0,53.0,43.0,26.40323239,81.05635517,6.349606327,223.3671883,Rice
Yield,4257.1,67.0,43.0,39.0,26.04371967,84.96907151,5.9999690260000005,186.7536773,Rice
Yield,4257.1,67.0,58.0,39.0,25.2827223,80.54372813,5.453592032,220.1156708,Rice
Yield,4257.1,66.0,60.0,38.0,22.08576562,83.47038318,6.372576327000001,231.7364957,Rice
Yield,4257.1,82.0,43.0,38.0,23.28617173,81.43321641,5.105588355,242.3170629,Rice
Yield,4257.1,84.0,50.0,44.0,25.48591986,81.40633547,5.9353444060000005,182.6549356,Rice
Yield,4257.1,81.0,53.0,42.0,23.67575393,81.03569343,5.17782304,233.7034975,Rice
Yield,4257.1,91.0,50.0,40.0,20.82477109,84.1341879,6.462391607000001,230.22422230000004,Rice
Yield,4257.1,93.0,53.0,38.0,26.92995077,81.91411159,7.069172227,290.67937830000005,Rice
Yield,4257.1,90.0,44.0,38.0,23.83509503,83.88387074,7.473134377,241.20135130000003,Rice
Yield,4257.1,81.0,45.0,35.0,26.52872817,80.12267476,6.158376967000001,218.9163567,Rice
Yield,4257.1,78.0,40.0,38.0,26.46428311,83.85642678,7.549873681,248.2256491,Rice
Yield,4257.1,60.0,51.0,36.0,22.69657794,82.81088865,6.028321557999999,256.9964761,Rice
Yield,4257.1,88.0,46.0,42.0,22.68319059,83.46358271,6.604993475,194.2651719,Rice
Yield,4257.1,93.0,47.0,37.0,21.53346343,82.14004101,6.500343222000001,295.9248796,Rice
Yield,4257.1,60.0,55.0,45.0,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,Rice
Yield,4257.1,78.0,35.0,44.0,26.54348085,84.67353597,7.072655622,183.6222657,Rice
Yield,4257.1,65.0,37.0,40.0,23.35905428,83.59512273,5.333322606,188.413665,Rice
Yield,4322.3,90.0,42.0,43.0,20.87974371,82.00274423,6.502985292000001,202.9355362,Rice
Yield,4322.3,85.0,58.0,41.0,21.77046169,80.31964408,7.038096361,226.6555374,Rice
Yield,4322.3,60.0,55.0,44.0,23.00445915,82.3207629,7.840207144,263.9642476,Rice
Yield,4322.3,74.0,35.0,40.0,26.49109635,80.15836264,6.980400905,242.8640342,Rice
Yield,4322.3,78.0,42.0,42.0,20.13017482,81.60487287,7.628472891,262.7173405,Rice
Yield,4322.3,69.0,37.0,42.0,23.05804872,83.37011772,7.073453503,251.0549998,Rice
Yield,4322.3,69.0,55.0,38.0,22.70883798,82.63941394,5.70080568,271.3248604,Rice
Yield,4322.3,94.0,53.0,40.0,20.27774362,82.89408619,5.718627177999999,241.9741949,Rice
